path_id,name,origin_seq,destination_seq,direction,traction_class,priority_weight,earliest_dep_min,latest_dep_min,notes
UP_00,Bootle Junction -> Manchester Piccadilly @ 00xx,0,18,up,class4,1.0,0,59,headway=3min
DN_00,Manchester Piccadilly -> Bootle Junction @ 00xx,18,0,down,class4,1.0,0,59,headway=3min
UP_01,Bootle Junction -> Manchester Piccadilly @ 01xx,0,18,up,class4,1.0,60,119,headway=3min
DN_01,Manchester Piccadilly -> Bootle Junction @ 01xx,18,0,down,class4,1.0,60,119,headway=3min
UP_02,Bootle Junction -> Manchester Piccadilly @ 02xx,0,18,up,class4,1.0,120,179,headway=3min
DN_02,Manchester Piccadilly -> Bootle Junction @ 02xx,18,0,down,class4,1.0,120,179,headway=3min
UP_03,Bootle Junction -> Manchester Piccadilly @ 03xx,0,18,up,class4,1.0,180,239,headway=3min
DN_03,Manchester Piccadilly -> Bootle Junction @ 03xx,18,0,down,class4,1.0,180,239,headway=3min
UP_04,Bootle Junction -> Manchester Piccadilly @ 04xx,0,18,up,class4,1.0,240,299,headway=3min
DN_04,Manchester Piccadilly -> Bootle Junction @ 04xx,18,0,down,class4,1.0,240,299,headway=3min
UP_05,Bootle Junction -> Manchester Piccadilly @ 05xx,0,18,up,class4,1.0,300,359,headway=3min
DN_05,Manchester Piccadilly -> Bootle Junction @ 05xx,18,0,down,class4,1.0,300,359,headway=3min
UP_06,Bootle Junction -> Manchester Piccadilly @ 06xx,0,18,up,class4,1.0,360,419,headway=3min
DN_06,Manchester Piccadilly -> Bootle Junction @ 06xx,18,0,down,class4,1.0,360,419,headway=3min
UP_07,Bootle Junction -> Manchester Piccadilly @ 07xx,0,18,up,class4,1.0,420,479,headway=3min
DN_07,Manchester Piccadilly -> Bootle Junction @ 07xx,18,0,down,class4,1.0,420,479,headway=3min
UP_08,Bootle Junction -> Manchester Piccadilly @ 08xx,0,18,up,class4,1.0,480,539,headway=3min
DN_08,Manchester Piccadilly -> Bootle Junction @ 08xx,18,0,down,class4,1.0,480,539,headway=3min
UP_09,Bootle Junction -> Manchester Piccadilly @ 09xx,0,18,up,class4,1.0,540,599,headway=3min
DN_09,Manchester Piccadilly -> Bootle Junction @ 09xx,18,0,down,class4,1.0,540,599,headway=3min
UP_10,Bootle Junction -> Manchester Piccadilly @ 10xx,0,18,up,class4,1.0,600,659,headway=3min
DN_10,Manchester Piccadilly -> Bootle Junction @ 10xx,18,0,down,class4,1.0,600,659,headway=3min
UP_11,Bootle Junction -> Manchester Piccadilly @ 11xx,0,18,up,class4,1.0,660,719,headway=3min
DN_11,Manchester Piccadilly -> Bootle Junction @ 11xx,18,0,down,class4,1.0,660,719,headway=3min
UP_12,Bootle Junction -> Manchester Piccadilly @ 12xx,0,18,up,class4,1.0,720,779,headway=3min
DN_12,Manchester Piccadilly -> Bootle Junction @ 12xx,18,0,down,class4,1.0,720,779,headway=3min
UP_13,Bootle Junction -> Manchester Piccadilly @ 13xx,0,18,up,class4,1.0,780,839,headway=3min
DN_13,Manchester Piccadilly -> Bootle Junction @ 13xx,18,0,down,class4,1.0,780,839,headway=3min
UP_14,Bootle Junction -> Manchester Piccadilly @ 14xx,0,18,up,class4,1.0,840,899,headway=3min
DN_14,Manchester Piccadilly -> Bootle Junction @ 14xx,18,0,down,class4,1.0,840,899,headway=3min
UP_15,Bootle Junction -> Manchester Piccadilly @ 15xx,0,18,up,class4,1.0,900,959,headway=3min
DN_15,Manchester Piccadilly -> Bootle Junction @ 15xx,18,0,down,class4,1.0,900,959,headway=3min
UP_16,Bootle Junction -> Manchester Piccadilly @ 16xx,0,18,up,class4,1.0,960,1019,headway=3min
DN_16,Manchester Piccadilly -> Bootle Junction @ 16xx,18,0,down,class4,1.0,960,1019,headway=3min
UP_17,Bootle Junction -> Manchester Piccadilly @ 17xx,0,18,up,class4,1.0,1020,1079,headway=3min
DN_17,Manchester Piccadilly -> Bootle Junction @ 17xx,18,0,down,class4,1.0,1020,1079,headway=3min
UP_18,Bootle Junction -> Manchester Piccadilly @ 18xx,0,18,up,class4,1.0,1080,1139,headway=3min
DN_18,Manchester Piccadilly -> Bootle Junction @ 18xx,18,0,down,class4,1.0,1080,1139,headway=3min
UP_19,Bootle Junction -> Manchester Piccadilly @ 19xx,0,18,up,class4,1.0,1140,1199,headway=3min
DN_19,Manchester Piccadilly -> Bootle Junction @ 19xx,18,0,down,class4,1.0,1140,1199,headway=3min
UP_20,Bootle Junction -> Manchester Piccadilly @ 20xx,0,18,up,class4,1.0,1200,1259,headway=3min
DN_20,Manchester Piccadilly -> Bootle Junction @ 20xx,18,0,down,class4,1.0,1200,1259,headway=3min
UP_21,Bootle Junction -> Manchester Piccadilly @ 21xx,0,18,up,class4,1.0,1260,1319,headway=3min
DN_21,Manchester Piccadilly -> Bootle Junction @ 21xx,18,0,down,class4,1.0,1260,1319,headway=3min
UP_22,Bootle Junction -> Manchester Piccadilly @ 22xx,0,18,up,class4,1.0,1320,1379,headway=3min
DN_22,Manchester Piccadilly -> Bootle Junction @ 22xx,18,0,down,class4,1.0,1320,1379,headway=3min
UP_23,Bootle Junction -> Manchester Piccadilly @ 23xx,0,18,up,class4,1.0,1380,1439,headway=3min
DN_23,Manchester Piccadilly -> Bootle Junction @ 23xx,18,0,down,class4,1.0,1380,1439,headway=3min
