path_id,name,origin_seq,destination_seq,direction,traction_class,priority_weight,earliest_dep_min,latest_dep_min,notes
NB_00,Crewe -> Parkside SRFI @ 00xx,0,11,northbound,class6,1.0,0,59,STEER Route 3 target: 20 NB tpd
SB_00,Parkside SRFI -> Crewe @ 00xx,11,0,southbound,class6,1.0,0,59,STEER Route 3 target: 20 SB tpd
NB_01,Crewe -> Parkside SRFI @ 01xx,0,11,northbound,class6,1.0,60,119,STEER Route 3 target: 20 NB tpd
SB_01,Parkside SRFI -> Crewe @ 01xx,11,0,southbound,class6,1.0,60,119,STEER Route 3 target: 20 SB tpd
NB_02,Crewe -> Parkside SRFI @ 02xx,0,11,northbound,class6,1.0,120,179,STEER Route 3 target: 20 NB tpd
SB_02,Parkside SRFI -> Crewe @ 02xx,11,0,southbound,class6,1.0,120,179,STEER Route 3 target: 20 SB tpd
NB_03,Crewe -> Parkside SRFI @ 03xx,0,11,northbound,class6,1.0,180,239,STEER Route 3 target: 20 NB tpd
SB_03,Parkside SRFI -> Crewe @ 03xx,11,0,southbound,class6,1.0,180,239,STEER Route 3 target: 20 SB tpd
NB_04,Crewe -> Parkside SRFI @ 04xx,0,11,northbound,class6,1.0,240,299,STEER Route 3 target: 20 NB tpd
SB_04,Parkside SRFI -> Crewe @ 04xx,11,0,southbound,class6,1.0,240,299,STEER Route 3 target: 20 SB tpd
NB_05,Crewe -> Parkside SRFI @ 05xx,0,11,northbound,class6,1.0,300,359,STEER Route 3 target: 20 NB tpd
SB_05,Parkside SRFI -> Crewe @ 05xx,11,0,southbound,class6,1.0,300,359,STEER Route 3 target: 20 SB tpd
NB_06,Crewe -> Parkside SRFI @ 06xx,0,11,northbound,class6,1.0,360,419,STEER Route 3 target: 20 NB tpd
SB_06,Parkside SRFI -> Crewe @ 06xx,11,0,southbound,class6,1.0,360,419,STEER Route 3 target: 20 SB tpd
NB_07,Crewe -> Parkside SRFI @ 07xx,0,11,northbound,class6,1.0,420,479,STEER Route 3 target: 20 NB tpd
SB_07,Parkside SRFI -> Crewe @ 07xx,11,0,southbound,class6,1.0,420,479,STEER Route 3 target: 20 SB tpd
NB_08,Crewe -> Parkside SRFI @ 08xx,0,11,northbound,class6,1.0,480,539,STEER Route 3 target: 20 NB tpd
SB_08,Parkside SRFI -> Crewe @ 08xx,11,0,southbound,class6,1.0,480,539,STEER Route 3 target: 20 SB tpd
NB_09,Crewe -> Parkside SRFI @ 09xx,0,11,northbound,class6,1.0,540,599,STEER Route 3 target: 20 NB tpd
SB_09,Parkside SRFI -> Crewe @ 09xx,11,0,southbound,class6,1.0,540,599,STEER Route 3 target: 20 SB tpd
NB_10,Crewe -> Parkside SRFI @ 10xx,0,11,northbound,class6,1.0,600,659,STEER Route 3 target: 20 NB tpd
SB_10,Parkside SRFI -> Crewe @ 10xx,11,0,southbound,class6,1.0,600,659,STEER Route 3 target: 20 SB tpd
NB_11,Crewe -> Parkside SRFI @ 11xx,0,11,northbound,class6,1.0,660,719,STEER Route 3 target: 20 NB tpd
SB_11,Parkside SRFI -> Crewe @ 11xx,11,0,southbound,class6,1.0,660,719,STEER Route 3 target: 20 SB tpd
NB_12,Crewe -> Parkside SRFI @ 12xx,0,11,northbound,class6,1.0,720,779,STEER Route 3 target: 20 NB tpd
SB_12,Parkside SRFI -> Crewe @ 12xx,11,0,southbound,class6,1.0,720,779,STEER Route 3 target: 20 SB tpd
NB_13,Crewe -> Parkside SRFI @ 13xx,0,11,northbound,class6,1.0,780,839,STEER Route 3 target: 20 NB tpd
SB_13,Parkside SRFI -> Crewe @ 13xx,11,0,southbound,class6,1.0,780,839,STEER Route 3 target: 20 SB tpd
NB_14,Crewe -> Parkside SRFI @ 14xx,0,11,northbound,class6,1.0,840,899,STEER Route 3 target: 20 NB tpd
SB_14,Parkside SRFI -> Crewe @ 14xx,11,0,southbound,class6,1.0,840,899,STEER Route 3 target: 20 SB tpd
NB_15,Crewe -> Parkside SRFI @ 15xx,0,11,northbound,class6,1.0,900,959,STEER Route 3 target: 20 NB tpd
SB_15,Parkside SRFI -> Crewe @ 15xx,11,0,southbound,class6,1.0,900,959,STEER Route 3 target: 20 SB tpd
NB_16,Crewe -> Parkside SRFI @ 16xx,0,11,northbound,class6,1.0,960,1019,STEER Route 3 target: 20 NB tpd
SB_16,Parkside SRFI -> Crewe @ 16xx,11,0,southbound,class6,1.0,960,1019,STEER Route 3 target: 20 SB tpd
NB_17,Crewe -> Parkside SRFI @ 17xx,0,11,northbound,class6,1.0,1020,1079,STEER Route 3 target: 20 NB tpd
SB_17,Parkside SRFI -> Crewe @ 17xx,11,0,southbound,class6,1.0,1020,1079,STEER Route 3 target: 20 SB tpd
NB_18,Crewe -> Parkside SRFI @ 18xx,0,11,northbound,class6,1.0,1080,1139,STEER Route 3 target: 20 NB tpd
SB_18,Parkside SRFI -> Crewe @ 18xx,11,0,southbound,class6,1.0,1080,1139,STEER Route 3 target: 20 SB tpd
NB_19,Crewe -> Parkside SRFI @ 19xx,0,11,northbound,class6,1.0,1140,1199,STEER Route 3 target: 20 NB tpd
SB_19,Parkside SRFI -> Crewe @ 19xx,11,0,southbound,class6,1.0,1140,1199,STEER Route 3 target: 20 SB tpd
NB_20,Crewe -> Parkside SRFI @ 20xx,0,11,northbound,class6,1.0,1200,1259,STEER Route 3 target: 20 NB tpd
SB_20,Parkside SRFI -> Crewe @ 20xx,11,0,southbound,class6,1.0,1200,1259,STEER Route 3 target: 20 SB tpd
NB_21,Crewe -> Parkside SRFI @ 21xx,0,11,northbound,class6,1.0,1260,1319,STEER Route 3 target: 20 NB tpd
SB_21,Parkside SRFI -> Crewe @ 21xx,11,0,southbound,class6,1.0,1260,1319,STEER Route 3 target: 20 SB tpd
NB_22,Crewe -> Parkside SRFI @ 22xx,0,11,northbound,class6,1.0,1320,1379,STEER Route 3 target: 20 NB tpd
SB_22,Parkside SRFI -> Crewe @ 22xx,11,0,southbound,class6,1.0,1320,1379,STEER Route 3 target: 20 SB tpd
NB_23,Crewe -> Parkside SRFI @ 23xx,0,11,northbound,class6,1.0,1380,1439,STEER Route 3 target: 20 NB tpd
SB_23,Parkside SRFI -> Crewe @ 23xx,11,0,southbound,class6,1.0,1380,1439,STEER Route 3 target: 20 SB tpd
