tiploc,crs,stanox,name,lat,lon,dist_to_route_m,chainage_km,platforms,from_berths,to_berths,train_describers,stanme,smart_berth_records
CREWEDL,,42133,SALOP DOWN GOODS LOOP,53.093157,-2.43517,68,0,,,,,,0
CREWENJ,,42126,NORTH JN,53.093208,-2.435991,80,0,,,,,,0
CREW142,,42122,CREWE SIG. CE 142,53.094033,-2.439031,231,0.111,,,,,,0
CREWECY,,42128,COAL YARD,53.095006,-2.43601,4,0.148,,A168|A170|CY18|CY25,0144|0146|CY20|N047|N051,CE|WD,CWECOALYD,9
CREWECS,XCR,42145,CREWE CARRIAGE SIDINGS,53.094226,-2.440213,299,0.157,,0110|0112|0114|0116|0122|0124|0126|A118|A120|A128|A130|A132|A134|A136,0535|0537,CE,CREWE CS,30
CREWWKS,,42121,CREWE WORKS (TPS REQUIREMENT),53.098148,-2.434488,206,0.445,,,,,,0
WNSFD,WSF,37011,WINSFORD,53.190063,-2.493846,6,11.419,1|2,0012|0013|0049|0096|0125,0049|0125|0149|N126|N128,WD,WINSFORD,6
HARTFD,HTF,37005,HARTFORD,53.24194,-2.552883,68,18.434,1|2,0104|0106|0155|0157,0102|0104|0157|0159|0253,WD,HARTFORD,5
HARTFDJ,,37003,HARTFORD JUNCTION,53.247277,-2.56494,1,19.432,,0150|0151|0157|0252|0254,0106|0159|0252|0253|G018,WD,HARTFORDJ,8
ACBG,ACB,37001,ACTON BRIDGE,53.265969,-2.602669,32,22.697,1|2|3,0152|0156|0161|0163|0254|0255,0150|0152|0163|0165|0252|0254,WD,ACTONBDGE,7
WEAVERJ,XYJ,35591,WEAVER JN SIGNAL BOX,53.297256,-2.636118,34,26.952,,0162|0167|0168,0160|0169|0171,WD,WEAVER JN,4
ACGJN,,35555,ACTON GRANGE JUNCTION,53.362026,-2.626564,31,34.963,,0233|0234|0239|0241,0231|0242|0252|D229,WA,ACTNGNGJN,8
WRGTRTS,,,WARRINGTON R.T.S.,53.374718,-2.605707,1,36.946,,,,,,0
WRGTWON,,35551,WARRINGTON NETWORK YARD,53.374726,-2.604204,98,36.971,,,,,,0
WRGTWOM,,35553,NY (M S C SIDINGS),53.375624,-2.604217,73,37.068,,,,,,0
WRGTWOJ,,35552,WALTON OLD JN,53.376523,-2.604229,48,37.165,,,,,,0
WRGTWOY,,35551,NY (WALTON OLD SIDINGS),53.377422,-2.604242,23,37.262,,,,,,0
WRGTNBQ,WBQ,35531,WARRINGTON BANK QUAY,53.38641,-2.604369,51,38.277,1|2|3|4,0174|0175|0189|0191|0192|0195|0196|0213|0214|0217|A188|A193|A194|A201|A216,0176|0181|0182|0218|0227|AUTS|B188|B193|B194|B201|X189|X191|X195|X196,WA,WARRTN BQ,40
WINWCKJ,,35505,WINWICK JUNCTION,53.433954,-2.623106,14,43.979,,0154|0155|0156|0159|0161,0153|0162|0163|0547,WA,WINWICK J,10
ERLSTWN,ERL,35325,EARLESTOWN JUNCTION,53.451,-2.643,0,46.500,,0538|0539|0543|0544|0548|0551|0554|0561|0563|0565,0537|0539|0543|0544|0546|0551|0554|0562|0563|0566,WA,EARLESTWN,15
NWTNLW,NLW,35321,NEWTON-LE-WILLOWS,53.451,-2.629,0,48.500,,0517|0518|0533|0537|0538,0511|0516|0533|0538|0544|0563|X562,WA,NEWTONLEW,8
PKSDJT,,35309,PARKSIDE JUNCTION,53.457468,-2.594836,212,50.000,,0512|0513|0533,0511|0514|0518,WA,PARKSIDEJ,4
