path_id,inserted,dep_min,dep_hhmm,route,dwell_min
NB_00,1,12,00:12,j0@00:12 -> j1@00:16 -> j2@00:18 -> j3@00:19 -> j4@00:22 -> j5@00:23 -> j6@00:30 -> j7@00:33 -> j8@00:37 -> j9@00:40 -> j10@00:43 -> j11@00:47,0
NB_01,1,60,01:00,j0@01:00 -> j1@01:04 -> j2@01:06 -> j3@01:07 -> j4@01:10 -> j5@01:11 -> j6@01:18 -> j7@01:21 -> j8@01:25 -> j9@01:28 -> j10@01:31 -> j11@01:35,0
NB_02,1,121,02:01,j0@02:01 -> j1@02:05 -> j2@02:07 -> j3@02:08 -> j4@02:11 -> j5@02:12 -> j6@02:19 -> j7@02:22 -> j8@02:26 -> j9@02:29 -> j10@02:32 -> j11@02:36,0
NB_03,1,180,03:00,j0@03:00 -> j1@03:04 -> j2@03:06 -> j3@03:07 -> j4@03:10 -> j5@03:11 -> j6@03:18 -> j7@03:21 -> j8@03:25 -> j9@03:28 -> j10@03:31 -> j11@03:35,0
NB_04,1,241,04:01,j0@04:01 -> j1@04:05 -> j2@04:07 -> j3@04:08 -> j4@04:11 -> j5@04:12 -> j6@04:19 -> j7@04:22 -> j8@04:26 -> j9@04:29 -> j10@04:32 -> j11@04:36,0
NB_05,1,300,05:00,j0@05:00 -> j1@05:04 -> j2@05:06 -> j3@05:07 -> j4@05:10 -> j5@05:11 -> j6@05:18 -> j7@05:21 -> j8@05:25 -> j9@05:28 -> j10@05:31 -> j11@05:35,0
NB_06,1,387,06:27,j0@06:27 -> j1@06:31 -> j2@06:33 -> j3@06:34 -> j4@06:37 -> j5@06:38 -> j6@06:45 -> j7@06:48 -> j8@06:52 -> j9@06:55 -> j10@06:58 -> j11@07:02,0
NB_07,1,420,07:00,j0@07:00 -> j1@07:04 -> j2@07:06 -> j3@07:07 -> j4@07:10 -> j5@07:11 -> j6@07:18 -> j7@07:21+5m -> j8@07:30 -> j9@07:33 -> j10@07:36 -> j11@07:40,5
NB_08,1,508,08:28,j0@08:28 -> j1@08:32 -> j2@08:34 -> j3@08:35 -> j4@08:38 -> j5@08:39 -> j6@08:46 -> j7@08:49 -> j8@08:53 -> j9@08:56 -> j10@08:59 -> j11@09:03,0
NB_09,1,551,09:11,j0@09:11 -> j1@09:15 -> j2@09:17 -> j3@09:18 -> j4@09:21 -> j5@09:22 -> j6@09:29 -> j7@09:32 -> j8@09:36 -> j9@09:39 -> j10@09:42 -> j11@09:46,0
NB_10,1,614,10:14,j0@10:14 -> j1@10:18 -> j2@10:20 -> j3@10:21+4m -> j4@10:28 -> j5@10:29 -> j6@10:36 -> j7@10:39 -> j8@10:43 -> j9@10:46 -> j10@10:49 -> j11@10:53,4
NB_11,1,678,11:18,j0@11:18 -> j1@11:22 -> j2@11:24 -> j3@11:25 -> j4@11:28 -> j5@11:29 -> j6@11:36 -> j7@11:39 -> j8@11:43 -> j9@11:46 -> j10@11:49 -> j11@11:53,0
NB_12,0,,,,
NB_13,1,795,13:15,j0@13:15 -> j1@13:19 -> j2@13:21 -> j3@13:22 -> j4@13:25 -> j5@13:26 -> j6@13:33 -> j7@13:36 -> j8@13:40 -> j9@13:43 -> j10@13:46 -> j11@13:50,0
NB_14,1,857,14:17,j0@14:17 -> j1@14:21 -> j2@14:23 -> j3@14:24 -> j4@14:27 -> j5@14:28 -> j6@14:35 -> j7@14:38 -> j8@14:42 -> j9@14:45 -> j10@14:48 -> j11@14:52,0
NB_15,1,914,15:14,j0@15:14 -> j1@15:18 -> j2@15:20 -> j3@15:21 -> j4@15:24 -> j5@15:25 -> j6@15:32 -> j7@15:35 -> j8@15:39 -> j9@15:42 -> j10@15:45 -> j11@15:49,0
NB_16,1,980,16:20,j0@16:20 -> j1@16:24 -> j2@16:26 -> j3@16:27 -> j4@16:30 -> j5@16:31 -> j6@16:38 -> j7@16:41 -> j8@16:45 -> j9@16:48 -> j10@16:51 -> j11@16:55,0
NB_17,1,1026,17:06,j0@17:06 -> j1@17:10 -> j2@17:12 -> j3@17:13 -> j4@17:16 -> j5@17:17 -> j6@17:24 -> j7@17:27 -> j8@17:31 -> j9@17:34 -> j10@17:37 -> j11@17:41,0
NB_18,1,1098,18:18,j0@18:18 -> j1@18:22 -> j2@18:24 -> j3@18:25 -> j4@18:28 -> j5@18:29 -> j6@18:36 -> j7@18:39+12m -> j8@18:55 -> j9@18:58 -> j10@19:01 -> j11@19:05,12
NB_19,0,,,,
NB_20,1,1231,20:31,j0@20:31 -> j1@20:35 -> j2@20:37 -> j3@20:38 -> j4@20:41 -> j5@20:42 -> j6@20:49 -> j7@20:52 -> j8@20:56 -> j9@20:59 -> j10@21:02 -> j11@21:06,0
NB_21,1,1278,21:18,j0@21:18 -> j1@21:22 -> j2@21:24 -> j3@21:25 -> j4@21:28 -> j5@21:29 -> j6@21:36 -> j7@21:39 -> j8@21:43 -> j9@21:46 -> j10@21:49 -> j11@21:53,0
NB_22,1,1323,22:03,j0@22:03 -> j1@22:07 -> j2@22:09 -> j3@22:10 -> j4@22:13 -> j5@22:14 -> j6@22:21 -> j7@22:24 -> j8@22:28 -> j9@22:31 -> j10@22:34 -> j11@22:38,0
NB_23,1,1383,23:03,j0@23:03 -> j1@23:07 -> j2@23:09 -> j3@23:10 -> j4@23:13 -> j5@23:14 -> j6@23:21 -> j7@23:24 -> j8@23:28 -> j9@23:31 -> j10@23:34 -> j11@23:38,0
SB_00,1,16,00:16,j11@00:16 -> j10@00:20 -> j9@00:23 -> j8@00:26 -> j7@00:29 -> j6@00:32 -> j5@00:38 -> j4@00:39 -> j3@00:41 -> j2@00:42 -> j1@00:43 -> j0@00:47,0
SB_01,1,60,01:00,j11@01:00 -> j10@01:04 -> j9@01:07 -> j8@01:10 -> j7@01:13 -> j6@01:16 -> j5@01:22 -> j4@01:23 -> j3@01:25 -> j2@01:26 -> j1@01:27 -> j0@01:31,0
SB_02,1,132,02:12,j11@02:12 -> j10@02:16 -> j9@02:19 -> j8@02:22 -> j7@02:25 -> j6@02:28 -> j5@02:34 -> j4@02:35 -> j3@02:37 -> j2@02:38 -> j1@02:39 -> j0@02:43,0
SB_03,1,180,03:00,j11@03:00 -> j10@03:04 -> j9@03:07 -> j8@03:10 -> j7@03:13 -> j6@03:16 -> j5@03:22 -> j4@03:23 -> j3@03:25 -> j2@03:26 -> j1@03:27 -> j0@03:31,0
SB_04,1,240,04:00,j11@04:00 -> j10@04:04 -> j9@04:07 -> j8@04:10 -> j7@04:13 -> j6@04:16 -> j5@04:22 -> j4@04:23 -> j3@04:25 -> j2@04:26 -> j1@04:27 -> j0@04:31,0
SB_05,1,300,05:00,j11@05:00 -> j10@05:04 -> j9@05:07 -> j8@05:10 -> j7@05:13 -> j6@05:16 -> j5@05:22 -> j4@05:23 -> j3@05:25 -> j2@05:26 -> j1@05:27 -> j0@05:31,0
SB_06,1,360,06:00,j11@06:00 -> j10@06:04 -> j9@06:07 -> j8@06:10 -> j7@06:13 -> j6@06:16 -> j5@06:22 -> j4@06:23 -> j3@06:25 -> j2@06:26 -> j1@06:27 -> j0@06:31,0
SB_07,1,420,07:00,j11@07:00 -> j10@07:04 -> j9@07:07 -> j8@07:10 -> j7@07:13 -> j6@07:16 -> j5@07:22 -> j4@07:23 -> j3@07:25 -> j2@07:26 -> j1@07:27 -> j0@07:31,0
SB_08,1,480,08:00,j11@08:00 -> j10@08:04 -> j9@08:07 -> j8@08:10 -> j7@08:13 -> j6@08:16 -> j5@08:22 -> j4@08:23 -> j3@08:25 -> j2@08:26 -> j1@08:27 -> j0@08:31,0
SB_09,1,540,09:00,j11@09:00 -> j10@09:04 -> j9@09:07 -> j8@09:10 -> j7@09:13 -> j6@09:16 -> j5@09:22 -> j4@09:23 -> j3@09:25 -> j2@09:26 -> j1@09:27 -> j0@09:31,0
SB_10,1,600,10:00,j11@10:00 -> j10@10:04 -> j9@10:07 -> j8@10:10 -> j7@10:13 -> j6@10:16 -> j5@10:22 -> j4@10:23 -> j3@10:25 -> j2@10:26 -> j1@10:27 -> j0@10:31,0
SB_11,1,660,11:00,j11@11:00 -> j10@11:04 -> j9@11:07 -> j8@11:10 -> j7@11:13 -> j6@11:16 -> j5@11:22 -> j4@11:23 -> j3@11:25 -> j2@11:26 -> j1@11:27 -> j0@11:31,0
SB_12,1,724,12:04,j11@12:04 -> j10@12:08 -> j9@12:11 -> j8@12:14 -> j7@12:17 -> j6@12:20 -> j5@12:26 -> j4@12:27 -> j3@12:29 -> j2@12:30 -> j1@12:31 -> j0@12:35,0
SB_13,1,780,13:00,j11@13:00 -> j10@13:04 -> j9@13:07 -> j8@13:10 -> j7@13:13 -> j6@13:16 -> j5@13:22 -> j4@13:23 -> j3@13:25 -> j2@13:26 -> j1@13:27 -> j0@13:31,0
SB_14,1,840,14:00,j11@14:00 -> j10@14:04 -> j9@14:07 -> j8@14:10 -> j7@14:13 -> j6@14:16 -> j5@14:22 -> j4@14:23 -> j3@14:25 -> j2@14:26 -> j1@14:27 -> j0@14:31,0
SB_15,1,910,15:10,j11@15:10 -> j10@15:14 -> j9@15:17 -> j8@15:20 -> j7@15:23 -> j6@15:26 -> j5@15:32 -> j4@15:33 -> j3@15:35 -> j2@15:36 -> j1@15:37 -> j0@15:41,0
SB_16,1,960,16:00,j11@16:00 -> j10@16:04 -> j9@16:07 -> j8@16:10 -> j7@16:13 -> j6@16:16 -> j5@16:22 -> j4@16:23 -> j3@16:25 -> j2@16:26 -> j1@16:27 -> j0@16:31,0
SB_17,1,1029,17:09,j11@17:09 -> j10@17:13 -> j9@17:16 -> j8@17:19 -> j7@17:22 -> j6@17:25 -> j5@17:31 -> j4@17:32 -> j3@17:34 -> j2@17:35 -> j1@17:36 -> j0@17:40,0
SB_18,1,1080,18:00,j11@18:00 -> j10@18:04 -> j9@18:07 -> j8@18:10 -> j7@18:13 -> j6@18:16 -> j5@18:22 -> j4@18:23 -> j3@18:25 -> j2@18:26 -> j1@18:27 -> j0@18:31,0
SB_19,1,1140,19:00,j11@19:00 -> j10@19:04 -> j9@19:07 -> j8@19:10 -> j7@19:13 -> j6@19:16 -> j5@19:22 -> j4@19:23 -> j3@19:25 -> j2@19:26 -> j1@19:27 -> j0@19:31,0
SB_20,1,1213,20:13,j11@20:13 -> j10@20:17 -> j9@20:20 -> j8@20:23 -> j7@20:26 -> j6@20:29 -> j5@20:35 -> j4@20:36 -> j3@20:38 -> j2@20:39 -> j1@20:40 -> j0@20:44,0
SB_21,1,1270,21:10,j11@21:10 -> j10@21:14 -> j9@21:17 -> j8@21:20 -> j7@21:23 -> j6@21:26 -> j5@21:32 -> j4@21:33 -> j3@21:35 -> j2@21:36 -> j1@21:37 -> j0@21:41,0
SB_22,1,1356,22:36,j11@22:36 -> j10@22:40 -> j9@22:43 -> j8@22:46 -> j7@22:49 -> j6@22:52 -> j5@22:58 -> j4@22:59 -> j3@23:01 -> j2@23:02 -> j1@23:03 -> j0@23:07,0
SB_23,1,1380,23:00,j11@23:00 -> j10@23:04 -> j9@23:07 -> j8@23:10 -> j7@23:13 -> j6@23:16 -> j5@23:22 -> j4@23:23 -> j3@23:25 -> j2@23:26 -> j1@23:27 -> j0@23:31,0
