date,headcode,journey_num,train_class,direction,junction_seq,junction_name,line,t_min
2026-03-17,0E10,1,other,southbound,3,HARTFORD JN,,796
2026-03-17,0E10,1,other,southbound,4,ACTON BRIDGE,,792
2026-03-17,0E10,1,other,southbound,5,WEAVER JN,M,784
2026-03-17,0E10,1,other,southbound,6,ACTON GRANGE JN,,776
2026-03-17,0E10,1,other,southbound,7,WARRINGTON BQ,F,769
2026-03-17,0E10,1,other,southbound,8,WINWICK JN,S,763
2026-03-17,0E10,1,other,southbound,9,EARLESTOWN,,758
2026-03-17,0F35,1,other,northbound,7,WARRINGTON BQ,,630
2026-03-17,0F35,1,other,northbound,8,WINWICK JN,M,635
2026-03-17,0F35,1,other,northbound,9,EARLESTOWN,,640
2026-03-17,0K05,1,other,southbound,0,CREWE,G,1044
2026-03-17,0K05,1,other,southbound,1,WINSFORD,F,1037
2026-03-17,0K05,1,other,southbound,2,HARTFORD,,1033
2026-03-17,0K05,1,other,southbound,3,HARTFORD JN,,1032
2026-03-17,0K05,1,other,southbound,4,ACTON BRIDGE,,1008
2026-03-17,0K05,1,other,southbound,5,WEAVER JN,M,1005
2026-03-17,0K05,1,other,southbound,6,ACTON GRANGE JN,,1001
2026-03-17,0K05,1,other,southbound,7,WARRINGTON BQ,F,996
2026-03-17,0K05,1,other,southbound,8,WINWICK JN,S,992
2026-03-17,0M68,1,other,northbound,9,EARLESTOWN,,1330
2026-03-17,0M68,1,other,northbound,10,NEWTON-LE-WILLOWS,E,1328
2026-03-17,0M68,1,other,northbound,11,PARKSIDE JN,C,1326
2026-03-17,1A10,1,passenger,northbound,0,CREWE,G,497
2026-03-17,1A10,1,passenger,northbound,1,WINSFORD,F,493
2026-03-17,1A10,1,passenger,northbound,2,HARTFORD,,488
2026-03-17,1A10,1,passenger,northbound,3,HARTFORD JN,,487
2026-03-17,1A10,1,passenger,northbound,4,ACTON BRIDGE,,486
2026-03-17,1A10,1,passenger,northbound,5,WEAVER JN,M,484
2026-03-17,1A13,1,passenger,northbound,0,CREWE,G,527
2026-03-17,1A13,1,passenger,northbound,1,WINSFORD,F,523
2026-03-17,1A13,1,passenger,northbound,2,HARTFORD,,520
2026-03-17,1A13,1,passenger,northbound,3,HARTFORD JN,,519
2026-03-17,1A13,1,passenger,northbound,4,ACTON BRIDGE,,513
2026-03-17,1A13,1,passenger,northbound,5,WEAVER JN,M,511
2026-03-17,1A16,1,passenger,northbound,0,CREWE,G,559
2026-03-17,1A16,1,passenger,northbound,1,WINSFORD,F,554
